bedrooms,floors,zipcode,sqft_living,price
3,1.0,98178,1180,221.9
3,2.0,98125,2570,538.0
2,1.0,98028,770,180.0
4,1.0,98136,1960,604.0
3,1.0,98074,1680,510.0
4,1.0,98053,5420,1225.0
3,2.0,98003,1715,257.5
3,1.0,98198,1060,291.85
3,1.0,98146,1780,229.5
3,2.0,98038,1890,323.0
3,1.0,98007,3560,662.5
2,1.0,98115,1160,468.0
3,1.5,98028,1430,310.0
3,1.0,98074,1370,400.0
5,1.5,98107,1810,530.0
4,2.0,98126,2950,650.0
3,2.0,98019,1890,395.0
4,1.5,98103,1600,485.0
2,1.0,98002,1200,189.0
3,1.0,98003,1250,230.0
4,1.0,98133,1620,385.0
3,1.0,98040,3050,2000.0
5,2.0,98092,2270,285.0
2,1.0,98030,1070,252.7
3,2.0,98030,2450,329.0
3,1.5,98002,1710,233.0
3,2.0,98119,2450,937.0
3,1.5,98112,1400,667.0
3,1.0,98115,1520,438.0
4,2.0,98052,2570,719.0
3,2.0,98027,2320,580.5
2,3.0,98133,1190,280.0
4,1.5,98117,2330,687.5
3,1.5,98117,1090,535.0
4,1.0,98058,2060,322.5
3,1.5,98115,2300,696.0
4,1.0,98052,1660,550.0
4,2.0,98107,2360,640.0
4,1.0,98001,1220,240.0
4,2.0,98056,2620,605.0
4,2.0,98074,2570,625.0
4,1.0,98166,4220,775.0
5,2.0,98053,3595,861.99
3,2.0,98119,1570,685.0
3,1.0,98058,1280,309.0
3,2.0,98019,3160,488.0
3,1.0,98023,990,210.49
4,2.0,98007,2290,785.0
3,1.0,98115,1250,450.0
3,1.0,98070,2753,1350.0
3,1.0,98148,1190,228.0
5,1.0,98056,3150,345.0
3,1.0,98117,1410,600.0
2,1.0,98117,1980,585.0
5,1.5,98105,2730,920.0
4,2.0,98105,2830,885.0
4,2.0,98042,2250,292.5
3,2.0,98042,2420,301.0
5,2.0,98008,3250,951.0
4,2.0,98059,1850,430.0
3,1.0,98166,2150,650.0
3,1.0,98148,1260,289.0
3,2.0,98166,2519,505.0
3,3.0,98115,1540,549.0
3,1.0,98122,1660,425.0
3,1.5,98144,2770,317.625
4,2.0,98004,2720,975.0
4,2.0,98001,2240,287.0
3,1.0,98042,1000,204.0
5,1.0,98004,3200,1325.0
5,1.0,98005,4770,1040.0
3,1.0,98034,1260,325.0
4,1.5,98125,2750,571.0
4,2.0,98038,2380,360.0
3,1.0,98042,1790,349.0
4,2.0,98075,3430,832.5
4,1.0,98008,1760,380.0
3,1.0,98116,1040,480.0
3,1.0,98133,1410,410.0
4,2.0,98010,3450,720.0
3,2.0,98038,2350,390.0
4,2.0,98038,1900,360.0
2,1.0,98118,2020,355.0
3,1.0,98059,1680,356.0
3,1.0,98125,960,315.0
