age,brexit
37,1
55,1
37,1
42,1
69,1
20,1
38,1
32,1
58,1
46,1
51,1
57,1
87,1
28,1
38,1
82,1
65,1
75,1
63,1
68,1
53,1
64,1
59,1
41,1
76,1
60,1
22,1
52,1
22,1
26,1
26,1
28,1
30,1
23,1
73,1
46,1
37,1
69,1
76,1
66,1
55,1
49,1
58,1
57,1
76,1
21,1
38,1
62,1
68,1
20,1
48,1
55,1
77,1
61,1
67,1
68,1
44,1
50,1
65,1
42,1
66,1
61,1
59,1
66,1
64,1
62,1
77,1
89,1
77,1
85,1
29,1
33,1
46,1
58,1
32,1
81,1
78,1
32,1
42,1
65,1
48,1
84,1
24,1
20,1
79,1
38,1
39,1
20,1
50,1
21,1
61,1
55,1
59,1
71,1
36,1
39,1
23,1
26,1
24,1
38,1
40,1
34,1
45,1
52,1
24,1
51,1
20,1
66,1
54,1
60,1
69,1
48,1
67,1
78,1
27,1
38,1
63,1
57,1
83,1
53,1
21,1
21,1
59,1
33,1
40,1
41,1
71,1
24,1
67,1
73,1
54,1
34,1
29,1
25,1
58,1
20,1
40,1
22,1
31,1
42,1
23,1
76,1
56,1
20,1
22,1
46,1
35,1
69,1
39,1
22,1
81,1
27,1
57,1
70,1
56,1
42,1
49,1
47,1
44,1
45,1
64,1
22,1
29,1
53,1
30,1
59,1
40,1
68,1
44,1
44,1
24,1
65,1
92,1
31,1
71,1
54,1
33,1
23,1
36,1
31,1
92,1
29,1
60,1
27,1
46,1
31,1
73,1
51,1
34,1
18,1
66,1
58,1
31,1
56,1
38,1
80,1
83,1
61,1
52,1
23,1
71,1
21,1
25,1
39,1
18,1
64,1
61,1
48,1
42,1
24,1
35,1
23,1
51,1
58,1
69,1
34,1
29,1
31,1
61,1
73,1
72,1
49,1
46,1
27,1
40,1
22,1
25,1
44,1
50,1
35,1
66,1
38,1
23,1
30,1
25,1
56,1
75,1
56,1
53,1
51,1
40,1
56,1
45,1
19,1
36,1
24,1
53,1
51,1
67,1
54,1
52,1
79,1
44,1
52,1
34,1
56,1
27,1
52,1
41,1
48,1
56,1
21,1
28,1
26,1
67,1
47,1
56,1
43,1
71,1
25,1
21,1
24,1
28,1
30,1
42,1
21,1
27,1
80,1
54,1
51,1
34,1
72,1
61,1
82,1
24,1
29,1
74,1
39,1
65,1
46,1
70,1
35,1
41,1
70,1
53,1
23,1
67,1
70,1
59,1
19,1
65,1
62,1
42,1
63,1
51,1
54,1
24,1
27,1
29,1
25,1
54,1
27,1
40,1
36,1
28,1
23,1
49,1
56,1
26,1
86,1
51,1
21,1
30,1
50,1
42,1
62,1
31,1
24,1
23,1
60,1
61,1
37,1
41,1
33,1
41,1
56,1
19,1
19,1
19,1
64,1
23,1
72,1
57,1
86,1
45,1
21,1
73,1
64,1
66,1
43,1
63,1
41,1
61,1
74,1
49,1
69,1
79,1
57,1
54,1
31,1
28,1
42,1
63,1
79,1
74,1
65,1
43,1
52,1
21,1
61,1
70,1
74,1
37,1
54,1
51,1
68,1
30,1
65,1
60,1
37,1
30,1
54,1
30,1
49,1
47,1
35,1
74,1
75,1
49,1
48,1
66,1
24,1
24,1
34,1
44,1
61,1
51,1
69,1
52,1
62,1
33,1
61,1
51,1
31,1
20,1
56,1
74,1
74,1
43,1
39,1
24,1
31,1
62,1
67,1
64,1
67,1
71,1
52,1
19,1
51,1
72,1
27,1
71,1
72,1
53,1
74,1
77,1
36,1
26,1
57,1
71,1
23,1
47,1
35,1
76,1
30,1
53,1
83,1
64,1
50,1
67,1
23,1
53,1
58,1
63,1
23,1
50,1
87,1
68,1
23,1
57,1
34,1
78,1
75,1
63,1
62,1
88,1
52,1
21,1
61,1
67,1
66,1
36,1
37,1
69,1
54,1
49,1
74,1
38,1
62,1
75,1
19,1
32,1
75,1
28,1
71,1
32,1
72,1
69,1
53,1
40,1
36,1
28,1
64,1
45,1
50,1
45,1
82,1
84,1
54,1
18,1
52,1
47,1
25,1
37,1
24,1
25,1
30,1
39,1
31,1
69,1
19,1
24,1
22,1
32,1
38,1
29,1
50,1
76,1
59,1
70,1
64,1
67,1
78,1
68,1
70,1
42,1
44,1
45,1
26,1
43,1
36,1
28,1
61,1
65,1
35,1
42,1
45,1
47,1
32,1
64,1
64,1
68,1
38,1
66,1
55,1
63,1
63,1
38,1
31,1
52,1
21,1
36,1
55,1
29,1
36,1
38,1
37,1
69,1
32,1
38,1
26,1
